ID,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
62,6782,15714874,Major,850,France,Female,42,3,0.0,2,1,1,176883.42
63,6388,15810807,Alekseeva,513,France,Female,43,9,0.0,2,1,0,152499.8
64,4413,15662626,Feng,666,France,Female,40,2,0.0,2,0,0,36371.27
65,3463,15713596,Ugochukwu,428,France,Female,62,1,107735.93,1,0,1,58381.77
66,8242,15592451,Lombardi,565,France,Male,32,9,0.0,2,1,0,5388.3
67,8490,15686538,Nixon,522,France,Female,41,7,0.0,2,0,1,176780.39
68,7023,15796813,Storey,493,France,Male,54,3,167831.88,2,1,0,150159.95
69,5042,15619238,Allan,567,Spain,Male,29,8,0.0,2,1,0,156125.72
70,3805,15760825,Fraser,604,France,Female,40,1,0.0,2,1,0,123207.17
72,9859,15619514,Bull,507,Germany,Male,40,3,120105.43,1,1,0,92075.01
74,6234,15682914,Bolton,850,France,Male,34,2,72079.71,1,1,1,115767.93
75,7109,15594812,Campbell,806,Spain,Female,37,2,137794.18,2,0,1,75232.02
76,4241,15736730,Soto,634,France,Female,45,2,0.0,1,1,1,143458.31
77,231,15808473,Ringrose,673,France,Male,72,1,0.0,2,0,1,111981.19
81,6528,15722692,Kazakova,464,France,Male,38,3,116439.65,1,1,0,75574.48
83,1528,15668058,Chinwendu,661,Germany,Male,35,8,124098.54,1,1,0,86678.48
84,5223,15724719,Jones,550,France,Female,22,7,139096.85,1,1,0,129890.94
85,6098,15615050,Savage,575,Germany,Male,47,9,107915.94,2,1,1,63452.18
87,7466,15772941,Lane,666,Germany,Male,30,3,110153.27,1,0,1,74849.46
88,3959,15640917,Tang,633,France,Male,43,5,0.0,2,1,1,48249.88
89,1012,15698442,Eberechukwu,719,Spain,Male,35,3,122964.88,1,1,1,138231.7
90,7089,15600975,Chiemenam,556,France,Female,54,4,150005.38,1,1,0,157015.5
91,2611,15729412,Holloway,682,France,Male,38,4,107192.38,1,1,1,15669.17
92,1414,15797733,Udobata,503,Germany,Male,30,10,136622.55,2,0,0,47310.24
93,5913,15715414,White,658,France,Female,38,6,102895.1,1,0,0,155665.76
94,5936,15778089,Stevenson,544,Spain,Male,37,2,0.0,2,0,0,135067.02
95,2302,15757577,Odili,676,France,Female,61,8,0.0,2,1,1,118522.73
96,2338,15660688,King,701,Spain,Female,35,9,0.0,2,0,0,170996.86
97,6627,15619932,Lombardi,847,France,Male,66,7,123760.68,1,0,1,53157.16
98,3338,15647385,Ch'iu,579,Spain,Male,56,4,99340.83,1,0,0,4523.74
99,5213,15621611,Gibson,742,Germany,Male,55,5,155196.17,1,0,1,121207.66
101,1455,15608653,Davison,521,Spain,Female,34,7,70731.07,1,1,1,20243.97
103,1308,15638806,Blackburn,645,Spain,Male,49,2,0.0,2,0,0,10023.15
106,9319,15611786,Tsui,668,Spain,Female,69,9,0.0,1,0,1,134483.07
108,6094,15742126,Chiu,712,Germany,Male,38,7,132767.66,2,1,1,59115.77
110,2701,15786200,Brock,564,France,Male,31,4,0.0,2,1,0,53520.03
111,7515,15715907,Onwubiko,699,France,Male,64,9,113109.52,1,1,0,27980.8
112,460,15662976,Lettiere,637,Spain,Male,37,8,0.0,1,1,1,186062.36
113,8588,15649457,Macleod,588,Germany,Male,41,2,131341.46,2,0,1,7034.94
114,7224,15729771,Davide,799,Germany,Male,31,9,154586.92,1,0,1,88604.89
115,5299,15794187,Young,695,France,Male,36,6,114007.5,2,1,0,118120.88
116,3514,15801395,Warren,790,France,Female,33,10,135120.72,1,0,0,195204.99
117,9410,15591150,Nwebube,570,Spain,Male,34,10,0.0,2,0,1,183387.12
119,8434,15658233,Naylor,724,France,Female,41,5,109798.25,1,0,1,149593.61
121,4870,15781272,Coles,669,France,Male,50,4,149713.61,3,1,1,124872.42
123,400,15646372,Outhwaite,616,France,Female,66,1,135842.41,1,1,0,183840.51
124,5647,15756272,James,526,Germany,Female,35,9,118536.4,1,1,0,40980.87
125,2703,15670172,Padovesi,622,France,Female,30,4,107879.04,1,0,1,196894.62
126,5321,15591550,Bianchi,525,Spain,Male,36,3,77910.23,1,1,0,67238.01
127,9013,15718406,Marshall,540,France,Male,41,3,0.0,2,1,0,121098.65
128,2575,15688691,Lei,665,Germany,Female,51,9,110610.41,2,0,1,1112.76
131,9017,15570271,Wan,577,Spain,Male,31,6,0.0,1,1,1,196395.25
133,4207,15720929,Kazantseva,604,France,Female,47,8,62094.71,3,0,0,9308.1
134,2789,15726589,Matveyev,540,Germany,Male,39,1,82531.11,1,1,0,114092.52
135,1595,15576676,Serrano,706,Germany,Female,28,6,124923.35,2,1,1,50299.14
136,5537,15795878,Anayochukwu,636,Spain,Male,45,3,0.0,2,1,1,159463.8
140,3788,15644174,Marchesi,638,Germany,Male,27,4,135096.05,1,1,1,186523.72
141,6713,15724838,Moretti,599,France,Female,43,4,0.0,1,1,0,170347.1
142,1675,15675896,Gough,680,Germany,Female,42,7,105722.69,1,1,1,90558.24
144,3528,15650545,Tomlinson,849,France,Male,69,7,71996.09,1,1,1,139065.94
146,3380,15637178,Mishina,803,Spain,Female,45,7,0.0,2,1,1,128378.04
147,8791,15691792,Young,416,Spain,Male,35,8,0.0,1,0,0,119712.78
148,9940,15808971,Lajoie,693,Spain,Female,57,9,0.0,2,1,1,135502.77
151,557,15705515,Lazarev,587,Germany,Male,40,5,138241.9,2,1,0,159418.1
152,8795,15578671,Webb,706,Spain,Female,29,1,209490.21,1,1,1,133267.69
153,8684,15599329,Christopher,697,France,Female,49,7,195238.29,4,0,1,131083.56
154,4875,15764537,Dominguez,703,France,Male,43,8,0.0,2,1,0,9704.66
155,1423,15794874,Quinones,696,Spain,Male,41,9,127523.75,1,0,1,191417.42
156,6590,15673790,Taylor,498,Germany,Male,45,7,109200.74,2,0,1,165990.44
157,8396,15586069,Abernathy,560,France,Female,30,0,108883.29,1,1,0,27914.95
158,1629,15810347,Todd,662,Spain,Female,30,9,0.0,2,0,1,157884.83
159,1869,15574947,Cartwright,656,France,Male,36,8,97786.08,2,0,1,21478.36
160,638,15583725,Mairinger,682,France,Male,48,1,138778.15,1,0,1,168840.23
161,7665,15679622,Clayton,602,France,Male,35,8,0.0,1,1,1,22499.29
163,9096,15718839,Tsui,850,Germany,Female,38,2,102741.15,2,0,1,23974.85
164,3085,15724402,Tyler,770,France,Female,30,8,0.0,2,1,0,100557.03
165,1178,15651369,Wright,626,France,Male,21,1,0.0,2,1,0,66232.23
166,8279,15628715,Kisch,709,France,Female,36,8,0.0,2,1,1,69676.55
168,1671,15716994,Green,559,Spain,Male,24,3,114739.92,1,1,0,85891.02
169,8584,15715888,Allardyce,591,France,Female,38,2,142289.28,1,0,1,119638.85
171,7840,15606003,Abramowitz,566,France,Female,21,3,0.0,2,1,1,3626.47
172,5053,15706729,Hsiao,662,France,Male,38,0,105271.56,1,0,1,179833.45
174,1098,15604295,Wei,543,France,Male,36,6,0.0,2,1,0,176728.28
175,9136,15664432,Chao,727,Spain,Female,49,7,96296.78,1,1,0,190457.87
176,2978,15655123,Dumetolisa,505,Spain,Female,45,9,131355.3,3,1,0,195395.33
177,2098,15689168,Munro,531,Spain,Male,37,1,143407.29,2,0,1,84402.46
178,5880,15705301,Parkes,683,France,Male,41,6,95696.52,2,1,1,184366.14
179,2154,15694200,Gardner,693,France,Male,36,8,178111.82,1,0,0,58719.63
180,3436,15719090,Osonduagwuike,676,Germany,Female,34,4,89437.03,1,1,1,189540.95
182,3995,15763097,Siciliano,809,Spain,Male,80,8,0.0,2,0,1,34164.05
183,7971,15577398,Ch'eng,850,France,Male,30,6,86449.39,1,1,1,188809.23
185,415,15810432,Moseley,795,Spain,Male,35,8,0.0,2,1,0,167155.36
186,1433,15687959,Landman,573,Spain,Female,44,4,0.0,1,1,1,94862.93
187,4676,15602405,Ryrie,703,Germany,Female,38,9,99167.54,1,1,0,65720.92
188,8780,15650322,Grigoryeva,701,France,Female,34,3,105588.66,1,0,1,74694.41
189,2988,15682268,Steere,676,Germany,Female,26,1,108348.66,1,0,0,60231.74
190,1538,15732448,Stewart,821,France,Female,28,8,0.0,1,1,1,36754.13
191,6693,15677087,Green,662,France,Female,39,5,138106.75,1,0,0,19596.73
192,4101,15693322,Shaver,635,Germany,Female,37,9,146748.07,1,0,1,11407.58
193,4124,15648225,Shephard,652,Spain,Female,38,1,103895.31,1,0,1,159649.44
195,1653,15675501,Woods,616,France,Male,59,5,153861.1,1,1,1,17699.48
197,6745,15611287,Chiu,777,France,Female,30,4,0.0,2,0,1,115611.97
198,2007,15745543,Hughes,687,France,Male,39,7,0.0,2,1,0,26848.25
199,1499,15677049,O'Brien,595,Germany,Female,25,7,106570.34,2,0,1,177025.79
200,9066,15693637,Ochoa,556,France,Female,30,7,0.0,2,1,1,186648.19
202,9670,15597739,Tu,674,France,Male,37,3,0.0,1,1,0,158049.9
203,9104,15728362,Robertson,671,France,Female,29,3,0.0,2,1,0,158043.11
204,662,15699637,Anenechi,694,Spain,Male,57,8,116326.07,1,1,1,117704.65
206,8930,15675141,Fraser,569,France,Female,35,4,93934.63,1,1,0,184748.23
207,5507,15697028,McClinton,590,Spain,Male,34,0,65812.35,2,0,1,160346.3
208,525,15763274,Wu,661,France,Male,48,3,120320.54,1,0,0,96463.25
209,7273,15666166,Pettry,653,France,Female,74,0,121276.32,1,1,1,160348.31
211,6748,15766172,Tsao,541,France,Male,34,3,128743.55,1,1,0,134851.12
212,6396,15707918,Bentley,741,Germany,Female,36,0,127675.39,2,1,0,74260.16
213,600,15714939,Fallaci,484,Germany,Female,34,4,148249.54,1,0,1,33738.27
214,8347,15793324,McKenzie,695,Spain,Male,32,9,0.0,3,0,1,38533.79
217,2118,15652540,Garnsey,683,France,Male,31,2,0.0,2,0,1,77326.78
218,9272,15774285,Kentish,649,Spain,Female,47,8,110783.28,1,1,1,71420.16
219,3683,15572626,Mackenzie,620,Spain,Male,44,8,0.0,2,1,1,15627.51
220,3074,15614420,Gerasimova,531,Germany,Female,32,0,109570.21,2,1,1,172049.84
221,8783,15809057,Lu,600,Spain,Female,27,6,0.0,2,1,1,172031.22
222,3874,15616240,Yeh,530,Spain,Male,37,4,0.0,2,1,1,164844.37
223,9568,15696733,McKenzie,724,France,Male,29,4,0.0,1,1,0,8982.75
224,2528,15709396,Hale,801,France,Male,42,6,0.0,2,1,1,95804.33
225,3907,15674343,Esposito,597,France,Male,44,8,78128.13,2,0,1,109153.04
227,1287,15590993,Findlay,579,Spain,Male,37,5,152212.88,2,0,0,120219.14
228,4633,15740557,Fedorova,753,France,Female,43,5,0.0,2,1,0,109881.71
229,8636,15608701,Chialuka,651,Germany,Male,29,3,121890.06,1,1,0,54530.51
230,4487,15660646,Fanucci,528,France,Male,35,3,156687.1,1,1,0,199320.77
231,3901,15575748,Conti,809,France,Male,36,9,68881.59,2,0,1,109135.11
232,1492,15634891,Jamison,504,Germany,Female,43,7,102365.49,1,1,0,194690.77
233,1400,15775546,Laurens,517,Spain,Female,29,5,0.0,2,1,0,103402.88
234,8235,15677796,Becher,766,Germany,Male,47,9,129289.98,1,1,0,169935.46
235,2181,15762902,Stanley,649,France,Female,42,7,0.0,2,0,1,22974.01
236,4334,15748327,Anderson,724,Germany,Male,34,6,118235.7,2,0,0,157137.23
237,8635,15656141,Ts'ao,741,France,Male,39,5,0.0,1,0,1,40207.06
238,3025,15610801,Pan,648,Germany,Male,41,5,123049.21,1,0,1,5066.76
239,420,15615624,De Salis,605,France,Female,28,6,0.0,2,0,0,159508.52
241,9955,15739850,Trentino,645,France,Male,45,6,155417.61,1,0,1,3449.22
242,9108,15617434,Yen,655,Spain,Male,38,9,0.0,1,0,1,90490.33
244,5702,15724154,Manna,625,Germany,Female,49,4,128504.76,1,1,0,126812.63
245,3868,15659149,King,530,France,Male,39,2,0.0,2,1,0,197923.05
246,8108,15795936,Lung,560,France,Male,50,3,0.0,2,1,0,84531.79
247,2642,15599301,Tao,538,Germany,Female,28,6,164365.44,1,0,1,5698.97
248,6533,15732299,Boniwell,756,France,Male,67,4,0.0,3,1,1,93081.87
249,2233,15671969,Pruneda,649,Spain,Male,36,8,0.0,2,1,0,161668.15
250,2767,15677217,Ibragimova,705,France,Male,30,1,0.0,1,1,1,181300.32
251,2757,15765806,Wu,492,France,Male,29,1,144591.96,1,1,1,196293.76
252,7694,15602043,Buccho,770,Germany,Female,46,5,141788.63,2,0,0,164967.21
253,8291,15731267,Rizzo,797,France,Male,37,4,75263.7,1,1,0,85801.77
254,991,15745527,Burke,655,France,Male,37,5,93147.0,2,1,0,66214.13
256,4918,15681991,Walsh,542,France,Male,32,7,107871.72,1,1,0,125302.64
257,3717,15699492,Lorenzo,665,Germany,Female,27,2,147435.96,1,0,0,187508.06
258,1359,15722364,Onwumelu,664,France,Male,43,9,189026.53,2,1,1,56099.86
259,5316,15572956,Steen,683,France,Male,36,5,115350.63,1,1,1,122305.91
260,9804,15776558,Nicholls,673,France,Male,31,1,108345.22,1,0,1,38802.03
261,7633,15620570,Sinnett,736,France,Male,43,4,202443.47,1,1,0,72375.03
263,4274,15804787,Onyemauchechukwu,562,France,Male,75,5,87140.85,1,1,1,39351.64
265,2375,15726186,Genovese,639,Spain,Male,29,4,133434.57,2,1,0,97983.44
266,6993,15808175,Castiglione,557,France,Female,39,7,49572.73,1,1,0,115287.99
267,6121,15636423,Lei,715,France,Male,40,7,0.0,1,1,1,141359.11
268,4873,15645937,Guerin,790,Spain,Male,32,3,0.0,1,1,0,91044.47
269,58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75
270,7477,15737909,Bates,759,France,Male,44,2,111095.58,2,1,0,100137.7
272,8953,15713975,Gibson,565,Germany,Female,47,10,139756.12,1,1,0,165849.49
273,9895,15704795,Vagin,521,France,Female,77,6,0.0,2,1,1,49054.1
274,1665,15791991,Udinesi,773,France,Male,52,4,0.0,1,0,1,144113.42
275,8128,15623063,Taylor,651,Germany,Male,35,8,110067.71,1,1,0,127678.95
276,7245,15670029,Marcelo,445,France,Female,33,7,0.0,2,1,0,122625.68
277,3633,15684696,Lei,560,Spain,Female,26,3,116576.45,1,1,0,157567.37
279,5946,15722533,Logue,716,France,Female,40,3,0.0,2,0,1,167636.15
281,2796,15665110,Helena,515,France,Female,25,7,79543.59,1,0,1,38772.82
282,330,15624528,L?,664,Germany,Male,26,7,116244.14,2,1,1,95145.14
284,7367,15649183,Johnston,598,Spain,Female,35,8,0.0,3,0,1,88658.73
285,677,15607040,P'an,593,Spain,Female,38,4,88736.44,2,1,0,67020.03
286,3394,15600626,Bradley,710,France,Male,30,6,0.0,2,1,1,8991.17
287,6122,15607629,Hollis,679,France,Male,48,8,0.0,2,1,0,23344.94
289,975,15705620,Lu,730,France,Male,34,5,122453.37,2,1,0,138882.98
290,4541,15613017,McMillan,586,Germany,Male,32,1,149814.54,1,1,0,31830.06
291,337,15740476,Tsao,659,Germany,Female,32,3,150923.74,2,0,1,174652.51
292,3261,15768072,Mitchell,688,Spain,Female,33,2,0.0,1,0,0,27557.18
293,1547,15727944,Simpkinson,701,Germany,Female,48,1,92072.68,1,1,1,133992.36
294,9140,15779904,Yobanna,597,France,Female,29,5,0.0,2,1,1,174825.57
295,8513,15716420,Kelly,612,Spain,Male,39,5,170288.38,1,1,1,59601.15
296,4325,15577970,Alexeeva,489,France,Male,34,5,0.0,1,0,0,43540.59
297,7279,15591360,Udinesi,642,France,Female,33,4,84607.34,2,0,1,60059.47
298,7085,15571415,Okwudiliolisa,805,Germany,Male,56,6,151802.29,1,1,0,46791.09
300,3714,15657937,Lord,709,Germany,Male,22,0,112949.71,1,0,0,155231.55
302,3510,15729958,Wilkinson,777,France,Male,37,1,0.0,1,1,1,126837.72
303,7434,15671293,Marcus,779,Germany,Female,37,2,128389.63,1,1,1,6589.16
304,7197,15586183,Wallace,561,France,Female,35,5,0.0,2,1,0,59981.62
305,4923,15751203,Cattaneo,702,France,Male,26,5,56738.47,2,1,1,100442.22
306,3069,15587013,Tien,653,France,Female,31,7,102575.04,1,1,1,11043.54
308,2881,15789425,Marsden,694,Germany,Female,37,8,98218.04,2,1,0,182354.46
309,4948,15670354,Jen,753,France,Female,62,6,0.0,2,1,1,136398.9
310,5676,15757897,Binder,766,France,Female,26,3,104258.8,1,1,1,428.23
311,3933,15763798,McMillan,680,France,Male,23,5,140007.19,1,0,1,31714.08
313,8046,15795737,McNaughtan,771,Spain,Female,47,3,72664.0,2,1,1,107874.39
314,9979,15703563,P'eng,774,France,Male,40,9,93017.47,2,1,0,191608.97
315,4742,15605020,Schofield,651,France,Male,45,2,165901.59,2,1,0,23054.51
317,9711,15624677,Marquez,543,Germany,Female,37,3,122304.65,2,0,0,33998.7
319,5433,15616471,Milne,599,Spain,Male,51,0,0.0,1,1,1,175235.99
323,908,15724848,Oluchukwu,516,France,Female,46,1,104947.72,1,1,0,115789.25
324,276,15758685,Dubinina,706,Spain,Female,37,7,0.0,2,1,1,110899.3
325,2660,15679410,Caldwell,729,France,Female,62,4,140549.4,1,1,0,30990.16
327,1515,15788676,Riley,539,Spain,Male,38,8,71460.67,2,1,1,10074.05
328,641,15784844,K'ung,752,Spain,Male,48,5,116060.08,1,1,0,156618.38
330,1530,15697283,Mackenzie,578,Spain,Male,23,8,0.0,2,1,0,112124.98
333,6090,15711316,Ch'ang,771,France,Male,27,2,0.0,2,1,1,199527.34
334,1195,15573769,Fiorentini,764,France,Female,24,7,0.0,2,1,0,186105.99
336,6217,15726634,Wei,479,France,Male,47,1,0.0,1,1,0,95270.83
338,632,15811762,Pickering,583,Germany,Female,54,6,115988.86,1,1,0,57553.98
339,3924,15595047,Murray,764,France,Male,41,7,0.0,2,0,0,134878.34
340,670,15662397,Small,640,France,Female,42,5,176099.13,1,1,1,8404.73
341,4342,15665376,Lavrentiev,647,Germany,Female,35,3,166518.63,2,1,0,147930.46
342,2624,15653696,Goliwe,515,France,Female,28,9,0.0,2,0,0,94141.75
343,4976,15573278,Kennedy,743,France,Male,39,6,0.0,2,1,0,44265.28
344,7917,15610936,Becher,562,France,Male,33,6,0.0,2,1,0,111590.35
346,6897,15649086,Patterson,596,France,Male,42,7,0.0,2,1,1,121568.37
347,1819,15800517,Huang,633,Spain,Male,32,5,163340.12,2,1,1,74415.2
348,1518,15812071,Endrizzi,744,France,Male,54,6,93806.31,2,0,1,140068.77
349,3898,15666884,Su,508,Germany,Female,41,5,82161.7,2,1,0,187776.49
350,5872,15709920,Burke,479,France,Female,33,2,208165.53,1,0,0,50774.81
351,4525,15658852,Stevens,676,France,Male,38,8,0.0,2,1,1,133692.88
352,4226,15671804,Wilding,648,Spain,Male,36,8,146943.38,2,1,1,130041.45
353,3676,15791743,Corbett,727,France,Male,32,1,59271.82,1,1,1,46019.43
354,1858,15709338,T'ao,544,France,Female,29,1,118560.55,1,1,1,164137.36
355,3761,15734970,White,835,Spain,Male,38,7,86824.09,1,0,0,175905.97
356,6671,15667932,Bellucci,758,Spain,Female,43,10,0.0,2,1,1,55313.44
357,6838,15605455,Tai,664,France,Male,40,9,0.0,2,1,0,194767.3
358,9257,15758451,Azuka,765,Germany,Male,37,7,102708.77,1,1,0,9087.81
360,1954,15675190,Chia,623,France,Male,21,10,0.0,2,0,1,135851.3
361,3039,15807909,Rubensohn,744,France,Male,47,9,0.0,2,1,0,113163.17
362,5963,15571193,Morrison,579,Germany,Male,42,0,144386.32,1,1,1,22497.1
363,9117,15672082,Schatz,562,France,Male,62,3,0.0,2,1,0,105986.01
364,3555,15662865,Storey,658,Spain,Male,36,1,0.0,2,0,1,84927.42
365,2126,15777923,Johnston,544,France,Female,45,6,0.0,2,0,1,151401.33
366,4767,15719858,Chao,659,Spain,Female,38,9,0.0,2,1,1,35701.06
367,5992,15723737,Pitcher,680,France,Male,27,3,0.0,1,1,0,32454.26
368,3641,15603665,Colombo,638,Germany,Female,39,0,122501.28,2,1,1,95007.8
369,6372,15656627,Lin,602,France,Male,34,5,0.0,2,1,1,77414.45
370,226,15699029,Bagley,670,France,Male,37,4,170557.91,2,1,0,198252.88
371,1824,15711219,Jennings,788,Germany,Female,57,8,93716.72,1,1,1,180150.49
372,7208,15570990,Begley,520,Spain,Female,30,4,145222.99,2,0,0,145160.96
374,4219,15782418,Ku,589,Germany,Female,19,9,83495.11,1,1,1,143022.31
375,119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39
376,2797,15770719,Duncan,697,France,Female,39,6,151553.19,1,1,1,44946.29
377,2853,15771483,Arnold,609,France,Male,40,6,0.0,2,1,1,97416.34
378,2809,15615991,Udegbulam,654,France,Male,42,7,99263.09,1,1,1,67607.9
379,4934,15787597,Hsu,420,Germany,Female,31,1,108377.75,2,1,1,9904.63
380,1198,15813444,McIntosh,590,Spain,Female,34,6,0.0,2,1,0,171021.44
383,642,15580684,Feng,706,France,Female,29,5,112564.62,1,1,0,42334.38
386,6653,15714380,Butcher,827,France,Male,38,5,0.0,2,0,0,103305.01
387,701,15803457,Hao,750,France,Female,32,5,0.0,2,1,0,95611.47
388,3586,15741745,Lane,757,France,Male,28,7,120911.75,2,1,1,131249.46
389,4497,15626948,Butcher,701,France,Female,42,6,86167.82,1,1,0,153342.38
390,9535,15795488,Beneventi,773,Spain,Male,52,2,0.0,2,1,0,57337.79
391,3548,15641359,Shao,662,Spain,Female,35,6,0.0,2,0,0,2423.9
393,9171,15616028,T'ao,694,France,Male,30,2,0.0,3,0,1,15039.41
394,1237,15774155,Trevisani,662,Germany,Male,33,0,103471.52,1,1,1,162703.0
395,5693,15662662,Duigan,573,France,Female,30,6,0.0,2,1,0,66190.21
396,2925,15792818,Perry,499,Germany,Female,29,6,148051.52,1,1,0,118623.94
397,8698,15644551,Wimble,751,Spain,Female,37,3,99773.85,2,1,0,54865.92
398,9417,15795370,Mazure,648,Germany,Male,37,6,131753.41,1,1,0,86894.67
399,432,15743040,Kuznetsova,724,Germany,Male,41,2,127892.57,2,0,1,199645.45
400,5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1
401,1444,15598751,Ingram,556,France,Female,43,6,0.0,3,0,0,125154.57
402,9035,15772337,Lawrence,723,Germany,Female,49,0,153855.52,1,1,1,180862.26
403,9737,15644103,Wells,659,Spain,Male,78,2,151675.65,1,0,1,49978.67
404,3691,15654959,Hope,670,Spain,Male,67,6,158719.57,1,1,1,118607.4
405,7652,15776921,Geoghegan,431,Germany,Male,45,5,83624.55,2,0,0,36899.62
406,522,15653547,Madukwe,850,France,Male,56,7,131317.48,1,1,1,119175.45
407,4741,15618661,Chidubem,535,France,Male,30,6,103804.97,1,1,1,125710.53
408,2566,15596088,Fanucci,705,France,Female,50,4,77065.9,2,0,1,145159.26
409,3160,15680587,Esposito,834,France,Male,23,4,131254.81,1,1,0,20199.3
410,2791,15595883,Nkemdirim,540,Germany,Male,39,4,127278.31,1,1,1,16150.34
414,3609,15601873,Bull,677,France,Female,36,7,0.0,1,1,0,47318.75
415,682,15613880,Higinbotham,591,Spain,Male,58,5,128468.69,1,0,1,137254.55
416,7163,15780088,Porter,607,Spain,Male,34,9,132439.99,1,1,0,177747.72
417,8371,15807107,Patel,612,France,Male,32,3,121394.42,1,1,0,164081.42
419,6448,15614834,Long,619,Spain,Female,31,3,141751.82,1,0,1,61531.86
420,60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28
422,7103,15677112,Chukwufumnanya,519,France,Male,39,2,112957.26,2,1,0,97593.16
423,2565,15672144,Mao,667,France,Female,38,6,144432.04,1,1,1,73963.17
424,7330,15648876,Sandover,501,France,Female,34,5,0.0,1,1,0,27380.99
