,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
51,5165,15624323,Atkins,642,France,Male,36,4,0.0,2,1,1,195224.91,0
52,4460,15658158,Sullivan,672,Germany,Female,23,10,110741.56,1,1,0,80778.5,0
53,5186,15801169,Yegorova,764,Germany,Female,39,9,138341.51,1,1,0,50072.94,1
54,4973,15612524,Hunt,643,Germany,Male,41,2,127841.52,1,1,0,172363.41,0
55,7301,15788224,Sanderson,669,Germany,Male,45,1,123949.75,1,0,0,110881.56,0
56,6939,15698324,Azikiwe,725,France,Female,33,4,0.0,1,1,1,67879.8,0
57,9162,15750049,Steele,621,France,Male,40,10,163823.37,1,0,0,89519.47,0
58,1355,15683403,Lombardi,611,Spain,Male,52,7,0.0,1,0,1,73585.18,1
59,8686,15597885,Kerr,772,France,Male,43,6,0.0,2,1,1,57675.88,0
60,5592,15607509,Ozerova,539,France,Male,38,5,0.0,2,1,0,47388.41,0
61,5988,15636634,Lindon,630,Germany,Female,25,7,79656.81,1,1,0,93524.22,0
62,5207,15632826,Tardent,493,France,Male,38,3,134006.77,1,1,0,89578.32,0
63,3807,15740383,Jimenez,594,Spain,Female,38,10,0.0,2,1,0,58332.91,0
64,330,15624528,L?,664,Germany,Male,26,7,116244.14,2,1,1,95145.14,0
65,3596,15654156,Marcelo,722,Germany,Female,32,5,106807.64,1,1,1,76998.69,0
66,4371,15740470,Vinogradov,725,France,Male,39,4,160652.45,2,1,0,57643.55,0
67,878,15800228,Bednall,652,Spain,Female,42,4,0.0,2,1,1,38152.01,0
68,5276,15579616,Goodwin,683,France,Female,42,8,0.0,2,0,1,198134.9,0
69,3385,15693732,Kilgour,775,France,Female,66,9,0.0,2,1,1,67622.34,0
70,3600,15767921,Madukwe,613,France,Male,41,7,0.0,2,1,0,60297.72,0
71,8469,15672983,Fernando,678,Spain,Female,27,5,87099.85,2,1,0,149550.95,0
72,9700,15570145,Long,763,France,Female,23,2,0.0,2,1,0,153983.99,0
73,9732,15627859,Nebeolisa,607,Germany,Male,29,7,102609.0,1,1,0,163257.44,0
74,8714,15578788,Bibi,786,Spain,Male,40,6,0.0,2,0,0,41248.8,0
75,8662,15604020,Otoole,773,Germany,Female,36,4,105858.71,1,0,1,4395.45,0
76,3060,15670619,Coppin,631,France,Female,33,8,0.0,2,0,0,117374.22,0
77,7254,15734649,Martel,779,Spain,Female,55,0,133295.98,1,1,0,22832.71,1
78,144,15713483,Greeves,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1
79,7094,15644453,Loggia,606,Germany,Female,41,4,132670.53,1,1,0,156476.36,1
80,4820,15683157,Waring,613,France,Male,26,4,100446.57,1,0,1,149653.81,0
81,5048,15790412,Norton,471,Spain,Male,26,8,0.0,2,1,1,179655.87,0
82,1491,15761976,Su,797,Spain,Female,31,8,0.0,2,1,0,117916.63,0
83,9596,15724543,Mao,597,France,Male,61,5,0.0,2,1,1,81299.17,0
84,8800,15803801,Jamieson,454,France,Male,34,4,0.0,2,1,0,198817.72,0
85,5383,15589296,Brown,724,France,Female,40,6,110054.45,1,1,1,86950.72,0
86,1317,15808689,Morres,850,France,Female,31,4,0.0,2,1,1,33082.81,0
87,2911,15746139,Enemuo,596,France,Male,33,2,139451.67,1,0,0,63142.12,0
88,307,15594898,Hewitt,731,France,Male,43,2,0.0,1,1,1,170034.95,1
89,2173,15651585,Power,661,Germany,Male,35,2,117212.18,1,1,1,83052.03,0
90,2478,15760294,Endrizzi,512,France,Female,41,8,145150.28,1,1,0,64869.32,1
91,7901,15653275,Lei,785,Spain,Female,54,1,0.0,2,1,0,45113.92,1
92,6034,15759966,Chiemenam,612,Spain,Female,36,5,119799.27,2,1,0,159416.58,0
93,5859,15757867,Bray,570,France,Female,30,10,176173.52,1,1,0,97045.32,1
94,4619,15633516,Tucker,526,France,Male,42,1,0.0,1,0,1,168486.02,0
95,8689,15778418,Burns,637,Germany,Male,40,9,154309.67,1,1,1,125334.16,1
96,4535,15629475,Clark,656,France,Male,41,2,0.0,2,1,0,158973.77,0
97,7234,15699963,Scott,571,France,Male,38,1,121405.04,1,1,1,154844.22,0
98,9138,15583026,Welch,535,France,Female,38,0,135919.33,1,1,0,80425.65,0
99,1825,15770498,Parker,798,France,Female,37,4,111723.08,1,1,1,83478.12,0
100,3410,15593736,Cook,598,Germany,Female,46,7,131769.04,1,0,0,184980.23,1
101,5324,15569264,Yobanna,622,France,Male,32,5,179305.09,1,1,1,149043.78,0
102,826,15660602,Ch'eng,464,Germany,Male,33,8,164284.72,2,1,1,3710.34,0
103,2279,15582960,Short,473,France,Female,33,5,125827.43,1,0,1,145698.73,0
104,4916,15594409,Belov,710,France,Male,45,1,0.0,2,1,1,36154.66,0
105,7376,15638871,Ch'ang,639,France,Male,77,6,80926.02,2,1,1,55829.25,0
106,7125,15697460,Lai,596,Germany,Male,34,4,99441.21,2,0,1,4802.27,0
107,9085,15593499,Stevens,686,Spain,Female,47,6,0.0,1,1,0,32080.69,1
108,1776,15725664,Wallace,549,France,Female,38,8,107283.4,1,0,0,157442.75,0
109,3460,15754919,Nwebube,773,France,Female,40,10,0.0,2,0,1,69303.15,0
110,7560,15696120,Wallace,701,Spain,Female,30,2,0.0,2,1,0,115650.63,0
111,7462,15645571,Genovese,596,Spain,Male,32,4,0.0,2,0,1,146504.35,0
112,3832,15695356,Chinwemma,722,France,Male,46,5,0.0,2,1,0,179908.71,0
113,9950,15798615,Wan,850,France,Female,47,9,137301.87,1,1,0,44351.77,0
114,4651,15664214,Hearn,670,France,Male,33,2,141204.65,2,1,0,76257.46,0
115,3739,15813697,Onyekaozulu,498,Germany,Female,44,2,120702.67,2,1,1,98175.74,0
116,6766,15689955,Arcuri,461,France,Female,40,7,0.0,2,1,0,176547.8,0
117,673,15721024,Wickens,642,France,Male,26,0,0.0,1,0,0,47472.68,0
118,1908,15810786,O'Toole,620,France,Female,67,3,0.0,2,1,1,43486.73,0
119,3817,15602554,Vorobyova,664,France,Female,31,9,114519.57,2,0,1,79222.02,0
120,9935,15774586,West,692,Germany,Female,43,10,118588.83,1,1,1,161241.65,1
121,8684,15599329,Christopher,697,France,Female,49,7,195238.29,4,0,1,131083.56,1
122,1446,15646302,Shao,705,France,Female,24,7,100169.51,1,1,0,121408.55,0
123,8311,15752809,De Mestre,702,Spain,Male,43,6,116121.67,1,1,0,61602.42,0
124,38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
125,6582,15598744,Ch'ang,576,Germany,Female,71,6,140273.47,1,1,1,193135.25,1
126,1486,15700212,Shih,475,France,Female,46,10,0.0,2,0,0,122953.0,1
127,9045,15653347,Chiu,560,Spain,Male,47,1,0.0,1,0,0,128882.66,1
128,5791,15646351,Somerville,486,Spain,Male,27,7,0.0,2,1,0,28823.04,0
129,7636,15702030,Azarov,516,France,Female,29,2,104982.57,1,1,0,157378.5,0
130,61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0
131,913,15566091,Thomsen,545,Spain,Female,32,4,0.0,1,1,0,94739.2,0
132,2974,15651983,Fang,591,France,Female,56,9,128882.49,1,1,1,196241.94,1
133,1473,15729956,Akabueze,726,Spain,Female,26,1,80780.16,1,1,1,19225.85,0
134,1704,15750466,Rhodes,790,Germany,Male,42,1,85839.62,1,1,0,198182.73,0
135,8070,15700654,Liardet,617,Germany,Male,44,9,49157.09,2,1,0,53294.17,0
136,6368,15568742,Parkes,536,France,Female,41,9,0.0,1,1,0,121299.14,0
137,4631,15684958,Amadi,489,Germany,Male,38,2,126444.08,2,1,1,82662.73,0
138,8087,15774847,Knight,593,France,Male,50,6,171740.69,1,0,0,20893.61,0
139,9920,15798084,Murray,688,France,Male,26,0,0.0,2,1,0,105784.85,0
140,8461,15658982,Napolitani,650,Germany,Female,28,5,122034.4,3,0,1,146663.43,1
141,2402,15751336,Yao,630,Spain,Male,30,3,0.0,2,0,1,10486.69,0
142,4490,15787035,Anderson,602,France,Female,35,8,0.0,2,1,1,152843.53,0
143,3884,15604355,Shand,519,France,Male,39,1,97700.02,1,1,1,30709.03,0
144,5479,15774336,Jamieson,648,Germany,Male,44,9,111369.79,2,1,1,91947.74,0
145,1400,15775546,Laurens,517,Spain,Female,29,5,0.0,2,1,0,103402.88,0
146,2242,15633112,Madukaego,681,Germany,Male,42,3,118199.97,2,1,0,9452.88,1
147,2462,15592765,Marks,637,France,Male,40,8,125470.81,1,1,1,174536.17,0
148,7084,15636767,Yang,665,Spain,Female,32,10,0.0,1,1,1,22487.45,0
149,2929,15581198,Jenkins,668,Germany,Female,39,0,122104.79,1,1,0,112946.67,1
150,8865,15599124,Miller,832,France,Female,29,5,0.0,2,1,0,178779.52,0
151,4479,15622443,Marshall,549,France,Male,31,4,0.0,2,0,1,25684.85,0
152,509,15773890,Okechukwu,733,France,Male,22,5,0.0,2,1,1,117202.19,0
153,4009,15612505,Joseph,835,Spain,Male,45,3,100212.13,1,1,0,152577.62,0
154,7531,15711299,Wilson,711,Germany,Female,52,8,145262.54,1,0,1,131473.31,0
155,6075,15802570,Dyer,811,France,Female,45,5,0.0,2,1,1,146123.19,0
156,7934,15616088,Lucas,782,France,Female,70,7,97072.42,1,0,1,131177.22,0
157,6966,15656188,Davis,584,Spain,Female,30,5,0.0,2,1,1,185201.58,0
158,7581,15781975,Rees,708,France,Male,34,3,0.0,1,0,1,121457.88,1
159,7040,15631685,Lambert,523,Germany,Male,60,1,163894.35,1,0,1,57061.71,0
160,9674,15784148,Beneventi,643,France,Male,62,9,0.0,2,0,0,155870.82,0
161,463,15670039,Sun,509,Spain,Female,25,3,108738.71,2,1,0,106920.57,0
162,6720,15776629,Christie,650,France,Female,39,4,0.0,2,0,0,186275.7,0
163,4647,15665008,Sidorov,805,Germany,Female,26,8,42712.87,2,1,1,28861.69,0
164,3948,15719950,Sutherland,682,France,Male,61,10,73688.2,1,1,1,172141.33,0
165,8607,15694581,Rawlings,807,Spain,Male,42,5,0.0,2,1,1,74900.9,0
166,6192,15747000,Shih,592,France,Male,27,3,0.0,2,1,1,19645.65,0
167,7079,15682576,Onyenachiya,763,France,Male,67,1,149436.73,2,0,1,106282.74,0
168,9888,15646310,Mao,684,Spain,Male,24,8,143582.89,1,1,1,22527.27,0
169,9717,15706458,Pan,812,Germany,Male,39,5,115730.71,3,1,1,185599.34,1
170,4428,15681180,Barese,771,France,Female,23,7,156123.73,1,1,0,72990.62,0
171,1532,15715031,Davidson,600,France,Female,28,6,0.0,2,0,1,52193.23,0
172,8647,15792726,Sung,470,France,Female,25,8,127974.06,2,1,1,183259.35,0
173,4473,15683524,Tobenna,660,Germany,Female,23,6,166070.48,2,0,0,90494.72,0
174,2536,15578809,Hao,651,Germany,Male,40,1,134760.21,2,0,0,174434.06,1
175,6822,15704209,Noble,802,France,Female,39,7,120145.96,2,0,1,59497.01,1
176,8759,15732621,Martin,663,France,Male,34,10,0.0,1,1,1,114083.73,0
177,5955,15811947,Gordon,850,France,Male,33,0,124781.67,1,0,1,33700.52,0
178,9284,15752186,Padovano,562,France,Female,27,3,0.0,2,1,0,28137.03,0
179,8538,15800068,Cooper,801,Spain,Female,46,6,0.0,2,1,1,170008.74,0
180,9078,15810732,Grant,730,France,Female,36,8,148749.29,2,1,0,91830.75,0
181,8062,15814757,Carter,477,Spain,Male,31,9,0.0,2,0,1,184061.17,0
182,5644,15782096,Volkova,616,Spain,Female,36,6,0.0,1,1,1,12916.32,1
183,875,15674840,Chiazagomekpere,645,France,Female,38,5,101430.3,2,0,1,4400.32,0
184,3876,15605036,Pisano,704,Spain,Female,37,9,155619.58,1,1,1,135088.58,0
185,9504,15698792,Keldie,671,France,Female,48,6,119769.77,1,0,1,66032.65,0
186,9995,15719294,Wood,800,France,Female,29,2,0.0,2,0,0,167773.55,0
187,7315,15686670,Duke,588,France,Female,36,2,0.0,2,1,0,92536.0,1
188,8361,15754747,Bazile,686,Germany,Male,33,9,141918.09,2,0,1,184036.47,0
189,8084,15684011,Miller,576,Germany,Male,29,7,130575.26,1,0,1,173629.78,0
190,1814,15637131,Fallaci,829,France,Male,38,9,0.0,2,1,0,30529.88,0
191,9402,15601857,Woodhouse,705,Germany,Female,46,4,115518.07,1,0,0,76544.9,1
192,7792,15570299,Martin,584,Germany,Female,31,6,152622.34,1,1,0,99298.8,0
193,2071,15750684,Jibunoh,719,France,Female,42,4,0.0,1,1,0,28465.86,1
194,3050,15576219,Cameron,615,France,Male,32,4,0.0,2,1,1,6225.63,0
195,4122,15606133,Lay,628,Spain,Male,42,7,0.0,2,0,1,172967.87,0
196,2123,15732740,Plant,765,Spain,Female,32,9,178095.55,1,0,0,47247.56,0
197,9784,15680430,Ajuluchukwu,601,Germany,Female,49,4,96252.98,2,1,0,104263.82,0
198,5768,15573284,Olisanugo,579,France,Female,45,2,0.0,2,0,0,11514.39,0
199,1052,15715003,Ko,625,Spain,Female,49,2,80816.45,1,1,1,20018.79,0
200,8976,15763415,Gray,567,Germany,Male,41,0,134378.89,1,1,1,105746.94,0
201,870,15710424,Page,435,France,Male,36,4,0.0,1,1,1,197015.2,0
202,6086,15596992,Norris,482,Germany,Male,45,7,156353.46,1,1,0,72643.95,1
203,2758,15566708,Chidalu,444,France,Female,45,4,0.0,2,1,0,161653.5,1
204,6339,15784161,Hargreaves,583,Germany,Male,39,8,102945.01,1,0,0,52861.89,0
205,3047,15779862,Lyons,658,Germany,Female,31,3,133003.03,1,0,1,146339.27,1
206,1292,15679611,Andrews,734,Spain,Female,37,2,130404.92,1,0,0,34548.74,0
207,3184,15734161,Nnonso,636,France,Male,43,6,0.0,2,1,0,43128.95,0
208,6194,15727198,Teng,689,Germany,Female,28,2,64808.32,2,0,0,78591.15,0
209,3798,15669887,Lambert,839,France,Female,51,3,0.0,1,1,1,69101.23,1
210,9844,15778304,Fan,646,Germany,Male,24,0,92398.08,1,1,1,18897.29,0
211,157,15655007,Li,758,France,Female,33,7,0.0,2,0,0,82996.47,0
212,3595,15578369,Chiedozie,652,Germany,Female,37,9,145219.3,1,1,0,159132.83,0
213,5525,15654975,Wu,641,France,Female,53,0,123835.52,2,0,1,160110.65,0
214,8814,15770375,Fanucci,850,Germany,Female,26,8,123126.29,1,1,0,74425.41,0
215,2551,15784301,Wang,850,France,Male,42,0,0.0,2,1,0,44165.84,0
216,3732,15568573,Graham,554,Germany,Female,51,7,105701.91,1,0,1,179797.79,1
217,1775,15802256,Yao,439,France,Male,28,7,110976.23,2,1,0,138526.96,0
218,9183,15665579,Cartwright,597,France,Female,28,0,142705.95,1,1,0,127233.39,0
219,9072,15610643,De Luca,435,Germany,Male,44,3,151739.65,1,1,0,167461.5,0
220,5060,15579915,Glennon,707,France,Male,29,4,0.0,2,1,0,139953.94,0
221,1106,15624293,Mironova,514,France,Female,46,3,106511.85,1,1,0,55072.32,0
222,6886,15606849,Blackall,698,France,Female,27,1,94920.71,1,1,1,40339.9,0
223,7311,15740487,Ross,627,France,Female,41,6,0.0,3,1,1,138700.75,1
224,5430,15797905,Walker,682,France,Female,48,7,0.0,2,1,0,65069.03,0
225,3711,15601796,Chizuoke,645,France,Male,30,1,125739.26,1,1,1,193441.23,0
226,6836,15618391,Doyle,810,France,Male,33,6,0.0,2,1,1,77965.67,0
227,7172,15744273,Waterhouse,637,Germany,Male,30,6,122641.56,2,1,0,65618.01,0
228,3897,15767894,Ch'ien,741,France,Female,21,9,0.0,2,0,1,139259.54,0
229,2483,15672610,Somadina,567,Spain,Male,40,4,118628.8,1,0,0,91973.63,0
230,9624,15796790,Amaechi,573,France,Female,47,8,154543.98,1,1,0,29586.73,0
231,5569,15594270,Biryukov,693,France,Male,38,7,198338.77,2,1,1,14278.18,0
232,8883,15614643,Chifo,731,Spain,Female,39,2,0.0,2,1,0,136737.13,0
233,4997,15620341,Nwebube,500,Germany,Male,44,9,160838.13,2,1,0,196261.64,0
234,5556,15572398,Townsend,614,Spain,Female,39,6,0.0,2,1,1,164018.98,0
235,2264,15594685,Hall,757,France,Female,49,2,0.0,2,0,0,164482.92,0
236,2951,15744919,Genovese,734,Spain,Female,37,0,152760.24,1,1,1,48990.5,0
237,1925,15586243,Yobachi,667,France,Male,44,8,122277.87,1,1,1,91810.71,0
238,2654,15785078,Fomin,730,Spain,Male,26,3,0.0,1,1,0,34542.41,0
239,4431,15654379,Onwuatuegwu,588,Spain,Male,59,4,0.0,2,1,1,27435.41,0
240,6375,15807473,Morehead,503,France,Male,38,1,0.0,2,1,1,95153.24,0
241,9865,15652999,Milne,742,Germany,Male,33,1,137937.95,1,1,1,51387.1,0
242,9698,15609735,Campbell,533,Germany,Male,51,6,127545.56,2,0,0,79559.02,1
243,397,15584766,Knight,557,France,Male,33,3,54503.55,1,1,1,371.05,0
244,8693,15755138,Chin,850,France,Female,32,8,0.0,2,1,1,55593.8,0
245,8891,15788723,McIntyre,599,Germany,Female,49,10,143888.22,2,1,1,166236.38,1
246,2404,15756901,Ch'ang,641,France,Female,26,4,91547.84,2,0,1,28157.34,0
247,7764,15767064,Davide,614,Spain,Female,36,1,44054.84,1,1,1,73329.08,0
248,6225,15616122,Nwokike,777,France,Male,39,8,0.0,2,1,1,18613.52,0
249,9803,15744295,Hao,756,France,Male,40,1,94773.11,1,1,0,114279.63,0
250,4182,15675842,Pinto,656,Spain,Male,26,4,139584.57,1,1,0,36308.93,0
251,7819,15637977,Barese,542,Germany,Male,25,8,139330.1,1,0,0,54372.37,0
252,5605,15804721,Boni,602,France,Male,49,0,191808.73,1,0,0,97640.2,0
253,4593,15658475,Lori,834,France,Male,36,8,142882.49,1,1,0,89983.02,1
254,702,15659098,Toscano,669,France,Male,30,7,95128.86,1,0,0,19799.26,0
255,8452,15580043,Murray,575,Spain,Female,22,8,105229.34,1,1,1,34397.08,0
256,390,15717225,Ikemefuna,544,France,Female,21,10,161525.96,2,1,0,9262.77,0
257,8697,15647572,Greece,504,Spain,Male,34,0,54980.81,1,1,1,136909.88,0
258,781,15737051,Denisov,639,France,Male,27,8,0.0,2,1,0,192247.35,0
259,9990,15605622,McMillan,841,Spain,Male,28,4,0.0,2,1,1,179436.6,0
260,4004,15626141,Fedorov,750,France,Female,26,1,151510.17,2,1,1,19921.72,0
261,1716,15778025,Dellucci,685,Germany,Male,43,9,108589.47,2,0,1,194808.51,0
262,222,15787155,Yang,514,Spain,Male,30,7,0.0,1,0,1,125010.24,0
263,336,15697441,Hsueh,485,France,Male,29,7,182123.79,1,1,0,116828.51,1
264,4698,15680706,Balashov,537,Germany,Male,48,4,131834.8,1,1,0,166476.95,1
265,4823,15805704,Murphy,745,France,Female,32,2,0.0,4,0,1,179705.13,1
266,9927,15603674,Knight,803,France,Male,36,1,0.0,2,1,1,149370.93,0
267,8222,15774358,Robertson,443,Germany,Male,59,4,110939.3,1,1,0,72846.58,1
268,9212,15605531,Daly,457,Spain,Female,38,6,0.0,2,1,0,173219.09,0
269,5031,15812832,Jideofor,562,Germany,Male,33,8,92659.2,2,1,0,1354.25,0
270,6798,15811978,Trevisani,693,Germany,Male,46,2,104763.41,1,1,1,62368.33,0
271,4505,15788930,Silva,761,Spain,Male,37,7,132730.17,1,1,0,199293.01,0
272,8344,15591698,P'eng,849,Germany,Female,49,9,132934.89,1,1,0,171056.65,1
273,5353,15675749,Baranov,695,France,Female,23,1,0.0,2,1,1,141756.32,0
274,6681,15588450,Chukwudi,633,France,Female,60,8,69365.25,1,1,1,10288.24,0
275,3821,15763148,Stanley,576,France,Male,39,9,84719.98,1,0,0,191063.36,0
276,3805,15760825,Fraser,604,France,Female,40,1,0.0,2,1,0,123207.17,0
277,8078,15741693,Barnard,693,France,Male,40,4,130661.96,1,1,1,101918.96,0
278,4053,15618401,Douglas,616,Germany,Male,41,10,113220.2,2,1,1,114072.91,0
279,1088,15696098,Palermo,498,France,Female,31,10,0.0,2,1,0,13892.57,0
280,419,15659843,Li,643,France,Female,46,6,0.0,2,0,0,106781.59,0
281,9730,15615330,Tretiakova,651,France,Male,23,10,0.0,2,1,1,170099.23,0
282,7511,15729377,Ku,798,France,Male,36,1,0.0,2,1,1,159044.1,0
283,3796,15581102,Baresi,554,France,Female,22,8,0.0,2,0,1,142670.61,0
284,3294,15691863,Cody,751,France,Female,39,3,0.0,2,1,1,84175.34,0
285,1469,15814846,Ozerova,691,France,Male,52,3,0.0,1,1,0,175843.68,1
286,3221,15674331,Bidwill,576,Germany,Male,30,7,132174.41,2,0,0,93767.03,0
287,1014,15603594,Nwankwo,635,Spain,Male,24,4,0.0,2,1,1,70668.77,0
288,9006,15802823,Maclean,745,Spain,Female,38,7,0.0,2,1,1,194230.82,0
289,2153,15630698,Hay,745,France,Female,55,9,110123.59,1,0,1,51548.14,1
290,7606,15710138,Sun,718,Spain,Male,39,6,0.0,2,0,1,63889.1,0
291,9378,15709447,Reed,584,France,Female,26,0,146286.22,1,1,0,105105.35,0
292,6462,15666975,Sparks,710,France,Female,36,4,116085.06,1,1,0,58601.61,0
293,2533,15658693,Aksyonova,827,France,Female,60,2,0.0,2,0,1,60615.83,0
294,7882,15727138,Kulikova,774,Spain,Male,46,9,0.0,2,1,1,34774.26,0
295,8615,15809515,Lewis,797,Germany,Male,32,1,151922.94,1,1,0,8877.06,0
296,3372,15625175,Palerma,742,Germany,Female,43,6,97067.69,1,0,1,60920.03,1
297,5245,15702190,Fan,672,Spain,Male,43,5,0.0,2,1,1,64515.5,0
298,8669,15687719,She,532,Spain,Female,37,5,0.0,2,0,1,6761.84,0
299,7410,15688059,Chin,807,Germany,Female,42,9,105356.09,2,1,1,130489.37,0
300,3161,15672821,Owen,591,France,Male,28,5,0.0,2,1,1,48606.92,0
301,1701,15642833,Akubundu,608,France,Female,30,8,0.0,2,1,0,128875.86,0
302,80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0
303,827,15660535,Avent,680,France,Female,47,5,0.0,2,1,1,179843.33,0
304,511,15568506,Forbes,524,Germany,Female,31,10,67238.98,2,1,1,161811.23,0
305,1178,15651369,Wright,626,France,Male,21,1,0.0,2,1,0,66232.23,0
306,167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1
307,8766,15791452,Dann,675,France,Male,39,1,0.0,2,1,0,153129.22,0
308,462,15718443,Chibuzo,539,France,Male,39,3,0.0,2,1,0,36692.17,0
309,7797,15773949,Cherkasova,692,France,Female,36,3,0.0,2,1,1,8282.22,0
310,9119,15804052,Scott,710,Spain,Male,23,6,0.0,2,1,1,134188.11,0
311,1296,15737748,McWilliam,534,Spain,Female,33,3,151233.62,1,0,0,199336.63,0
312,7904,15618437,Singleton,567,Spain,Male,34,10,0.0,2,0,1,161571.79,0
313,4576,15756926,Atherton,833,Germany,Male,29,1,96462.25,2,0,1,48986.18,0
314,941,15754084,Palazzi,710,Spain,Male,35,1,106518.52,1,1,1,127951.81,0
315,8945,15752312,Howells,551,Spain,Male,49,1,150777.72,2,1,1,135757.27,0
316,8947,15572294,Kelly,623,France,Male,28,7,0.0,1,0,0,129526.57,0
